CHEESE,CHEESE NEUFCHATEL,1031,0,1.37,27,0,3.59,74,0,0.0,253,0,0,0.011,0.21,0.575,9.15,0,239,0.155,3.0,3.190000057,0.022,63.11,5.784,0.97,12.79,22.78,28.35,1 oz,85,1 package   (3 oz),117,0.027,0.13,10,138,152,334,0.82,841,241,0.3,0.041,0.0,0.4,1.7
CHEESE,CHEESE PARMESAN HARD,1033,0,6.04,28,0,3.22,68,15,0.0,392,0,0,0.02,0.271,0.453,35.75,0,106,0.332,22.5,0.800000012,0.039,29.16,7.515,0.569,16.41,25.83,28.35,1 oz,10,1 cubic inch,1184,0.032,0.82,44,694,92,1602,2.75,399,108,1.2,0.091,0.0,0.23,1.7
CHEESE,CHEESE PROVOLONE,1035,0,4.71,68,0,2.14,69,15,0.0,351,0,0,0.01,0.156,0.476,25.58,0,230,0.321,14.5,0.560000002,0.019,40.95,7.393,0.769,17.078,26.62,132.0,1 cup  diced,28,1 oz,756,0.026,0.52,28,496,138,876,3.23,880,236,1.46,0.073,0.0,0.23,2.2
CHEESE,CHEESE RICOTTA PART SKIM MILK,1037,0,1.15,20,0,5.14,31,18,0.0,138,0,0,0.01,0.078,0.242,11.39,0,105,0.185,16.7,0.310000002,0.021,74.41,2.314,0.26,4.927,7.91,246.0,1 cup,28,1 oz,272,0.034,0.44,15,183,125,125,1.34,384,107,0.29,0.02,0.0,0.07,0.7
CHEESE,CHEESE ROQUEFORT,1039,0,6.44,0,0,2.0,90,0,0.0,369,0,0,0.03,0.734,1.731,21.54,0,290,0.586,14.5,0.0,0.04,39.38,8.474,1.32,19.263,30.64,28.35,1 oz,85,1 package   (3 oz),662,0.034,0.56,30,392,91,1809,2.08,1047,294,0.64,0.124,0.0,0.0,0.0
CHEESE,CHEESE TILSIT,1041,0,4.87,0,0,1.88,102,0,0.0,340,0,0,0.013,0.205,0.346,24.41,0,236,0.359,14.5,0.0,0.061,42.86,7.136,0.721,16.775,25.98,28.35,1 oz,170,1 package   (6 oz),700,0.026,0.23,13,500,65,753,3.5,1045,249,2.1,0.065,0.0,0.0,0.0
CHEESE,CHEESE PAST PROCESS PIMENTO,1043,12,5.84,151,0,1.73,94,36,0.100000001,375,20,0,0.016,0.078,0.485,22.13,0,235,0.354,14.5,0.629999995,0.027,39.08,8.937,0.988,19.663,31.2,140.0,1 cup  diced,244,1 cup  melted,614,0.033,0.42,22,744,162,1428,2.98,1045,248,0.7,0.071,2.3,0.29,2.9
CHEESE FD,CHEESE FD COLD PK AMERICAN,1045,0,4.44,0,0,8.32,64,0,0.0,331,0,0,0.01,0.074,0.977,19.66,0,148,0.446,16.2,0.0,0.03,43.12,7.165,0.719,15.355,24.46,28.35,1 oz,227,1 package   (8 oz),497,0.03,0.84,30,400,363,966,3.01,705,159,1.28,0.141,0.0,0.0,0.0
CHEESE FD,CHEESE FD PAST PROCESS SWISS,1047,0,5.77,0,0,4.5,82,0,0.0,323,0,0,0.01,0.104,0.5,21.92,0,233,0.4,16.1,0.0,0.014,43.67,6.801,0.6,15.487,24.14,28.35,1 oz,227,1 package   (8 oz),723,0.03,0.6,28,526,284,1552,3.55,856,237,2.3,0.035,0.0,0.0,0.0
CREAM,CREAM FLUID HALF AND HALF,1049,0,0.67,22,0,4.3,37,19,0.0,130,0,0,0.001,0.078,0.289,2.96,0,95,0.149,1.8,0.159999996,0.035,80.57,3.321,0.427,7.158,11.5,242.0,1 cup,15,1 tbsp,105,0.01,0.07,10,95,130,41,0.51,354,97,0.33,0.039,0.9,0.33,1.3
CREAM,CREAM FLUID LT WHIPPING,1052,0,0.46,60,0,2.96,111,17,0.0,292,0,0,0.001,0.042,0.259,2.17,0,274,0.125,0.5,0.109999999,0.024,63.5,9.093,0.884,19.337,30.91,120.0,1 cup   whipped,239,1 cup  fluid (yields 2 cups whipped),69,0.007,0.03,7,61,97,34,0.25,1013,279,0.2,0.028,0.6,0.88,2.7
CREAM,CREAM WHIPPED CRM TOPPING PRESSURIZED,1054,0,0.76,43,0,12.49,76,17,0.0,257,0,0,0.001,0.07,0.305,3.2,0,184,0.065,1.4,8.0,0.037,61.33,6.418,0.825,13.831,22.22,60.0,1 cup,3,1 tbsp,101,0.01,0.05,11,89,147,130,0.37,685,188,0.29,0.041,0.0,0.64,1.9
CREAM,CREAM SOUR CULTURED,1056,0,0.85,26,0,2.88,52,19,0.0,193,0,0,0.011,0.109,0.336,2.07,0,160,0.172,2.6,3.5,0.036,74.46,5.068,0.84,11.507,19.73,230.0,1 cup,12,1 tbsp,110,0.019,0.17,10,115,141,80,0.38,576,162,0.28,0.057,0.9,0.44,1.8
SOUR DRSNG,SOUR DRSNG NON-BUTTERFAT CULTURED FILLED CREAM-TYPE,1058,0,0.71,0,0,4.68,5,15,0.0,178,0,0,0.002,0.074,0.398,3.25,0,3,0.163,2.3,4.679999828,0.038,74.79,1.958,0.468,13.272,16.57,235.0,1 cup,12,1 tbsp,113,0.01,0.03,10,87,162,48,0.37,10,3,0.33,0.017,0.9,1.34,4.1
MILK,MILK FILLED FLUID W/LAURIC ACID OIL,1060,0,0.8,0,0,4.74,2,15,0.0,63,0,0,0.002,0.087,0.301,3.33,0,2,0.123,2.0,4.739999771,0.03,87.73,0.1,0.01,3.101,3.4,244.0,1 cup,30,1 fl oz,128,0.01,0.05,13,97,139,57,0.36,7,2,0.34,0.04,0.9,0.13,0.8
CREAM SUB,CREAM SUB LIQ W/LAURIC ACID OIL&NA CASEINATE,1068,0,0.38,0,0,11.38,0,0,0.0,136,0,0,0.04,0.0,0.0,1.0,0,0,0.0,1.1,0.0,0.0,77.27,0.106,0.003,9.304,9.97,15.0,1 container   individual,120,.5 cup,9,0.025,0.03,0,64,191,79,0.02,89,4,0.0,0.0,0.0,0.0,0.0
DESSERT TOPPING,DESSERT TOPPING POWDERED,1070,0,1.17,108,0,52.54,0,0,0.0,577,0,0,0.225,0.0,0.0,4.9,0,0,0.0,0.6,52.54000092,0.0,1.47,0.6,0.447,36.723,39.92,42.5,1.5 oz,1,1 portion   amount to make 1 tbsp,17,0.118,0.03,7,74,166,122,0.08,180,9,0.0,0.0,0.0,1.52,9.9
DESSERT TOPPING,DESSERT TOPPING PRESSURIZED,1072,0,0.28,47,0,16.07,0,0,0.0,264,0,0,0.045,0.0,0.0,0.98,0,0,0.0,1.5,16.06999969,0.0,60.37,1.927,0.241,18.912,22.3,70.0,1 cup,4,1 tbsp,5,0.024,0.02,1,18,19,62,0.01,78,4,0.0,0.0,0.0,0.85,5.5
SOUR CRM,SOUR CRM IMITN CULTURED,1074,0,0.3,0,0,6.63,0,0,0.0,208,0,0,0.11,0.0,0.0,2.4,0,0,0.0,2.5,6.630000114,0.0,71.15,0.588,0.056,17.791,19.52,230.0,1 cup,28,1 oz,3,0.058,0.39,6,45,161,102,1.18,0,0,0.0,0.0,0.0,0.74,4.8
MILK SUBSTITUTES,MILK SUBSTITUTES FLUID W/LAURIC ACID OIL,1076,0,0.5,0,0,6.16,0,0,0.0,61,0,0,0.097,0.0,0.0,1.75,0,0,0.088,1.9,0.0,0.012,88.18,0.176,0.008,3.037,3.41,244.0,1 cup,976,1 quart,33,0.051,0.39,6,74,114,78,1.18,0,0,0.0,0.0,0.0,0.0,0.0
MILK,MILK PRODUCER FLUID 3.7% MILKFAT,1078,0,0.72,0,0,4.65,14,0,0.0,64,0,0,0.004,0.084,0.313,3.28,0,31,0.161,2.0,0.0,0.038,87.69,1.057,0.136,2.278,3.66,244.0,1 cup,976,1 quart,119,0.01,0.05,13,93,151,49,0.38,138,33,0.36,0.042,1.5,0.0,0.0
MILK,MILK RED FAT FLUID 2% MILKFAT W/ NONFAT MILK SOL&VIT A,1080,0,0.77,0,0,4.97,8,0,0.0,51,0,0,0.002,0.09,0.336,3.48,0,55,0.173,2.3,0.0,0.04,88.86,0.555,0.071,1.195,1.92,245.0,1 cup,980,1 quart,128,0.008,0.05,14,100,162,52,0.4,204,56,0.38,0.045,1.0,0.0,0.0
MILK,MILK LOWFAT FLUID 1% MILKFAT W/ VIT A,1082,0,0.75,2,0,4.99,5,18,0.0,42,0,0,0.003,0.093,0.361,3.37,0,58,0.185,3.3,5.199999809,0.02,89.92,0.277,0.035,0.633,0.97,244.0,1 cup,30,1 fl oz,119,0.01,0.03,11,95,150,44,0.42,196,58,0.44,0.037,0.0,0.01,0.1
MILK,MILK LOWFAT FLUID 1% MILKFAT PROT FORT W/ VIT A,1084,0,0.86,0,0,5.52,4,0,0.0,48,0,0,0.002,0.1,0.373,3.93,0,61,0.192,2.5,0.0,0.045,88.74,0.338,0.043,0.728,1.17,246.0,1 cup,984,1 quart,142,0.01,0.06,16,111,180,58,0.45,203,61,0.43,0.05,1.2,0.0,0.0
MILK,MILK NONFAT FLUID W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM),1086,0,0.78,0,0,5.02,2,16,0.0,37,0,0,0.002,0.091,0.339,3.57,0,61,0.175,2.2,5.019999981,0.041,90.38,0.065,0.009,0.162,0.25,245.0,1 cup,31,1 fl oz,129,0.011,0.05,15,104,171,53,0.41,203,61,0.39,0.046,1.0,0.0,0.0
MILK,MILK BTTRMLK FLUID CULTURED LOWFAT,1088,0,0.89,1,0,4.79,4,16,0.0,40,0,0,0.002,0.058,0.275,3.31,0,7,0.154,2.0,4.789999962,0.034,90.13,0.254,0.033,0.548,0.88,245.0,1 cup,31,1 fl oz,116,0.011,0.05,11,89,151,105,0.42,26,7,0.22,0.034,1.0,0.05,0.1
MILK,MILK DRY WHOLE,1090,0,6.08,43,0,38.42,97,119,0.0,496,0,0,0.04,0.646,2.271,26.32,0,253,1.205,16.3,38.41999817,0.283,2.47,7.924,0.665,16.742,26.71,128.0,1 cup,32,.25 cup,912,0.08,0.47,85,776,1330,371,3.34,915,257,3.25,0.302,8.6,0.48,1.8
MILK,MILK DRY NONFAT INST W/ VIT A,1092,0,8.03,1,0,52.19,18,168,0.0,358,0,0,0.02,0.891,3.235,35.1,0,709,1.744,27.3,52.18999863,0.413,3.96,0.187,0.028,0.467,0.72,68.0,1 cup,91,1 envelope   (1-1/3 cup),1231,0.041,0.31,117,985,1705,549,4.41,2365,709,3.99,0.345,5.6,0.01,0.0
MILK,MILK BUTTERMILK DRIED,1094,0,7.95,9,0,49.0,69,119,0.0,387,0,0,0.023,0.876,3.17,34.3,0,48,1.579,20.3,49.0,0.392,2.97,1.669,0.215,3.598,5.78,120.0,1 cup,6,1 tbsp,1184,0.111,0.3,110,933,1592,517,4.02,175,49,3.82,0.338,5.7,0.1,0.4
MILK,MILK CND EVAP WO/ VIT A,1096,0,1.55,12,0,10.04,29,32,0.0,134,0,0,0.006,0.194,0.638,6.81,0,64,0.316,2.3,10.03999996,0.047,74.04,2.335,0.245,4.591,7.56,252.0,1 cup,32,1 fl oz,261,0.016,0.19,24,203,303,106,0.77,233,65,0.16,0.05,1.9,0.14,0.5
MILK,MILK CHOC FLUID COMM LOWFAT,1104,0,0.82,2,0,10.44,3,17,0.5,63,0,0,0.077,0.127,0.302,3.24,0,58,0.166,1.9,9.93999958,0.038,84.5,0.3,0.035,0.616,1.0,250.0,1 cup,1000,1 quart,115,0.065,0.24,13,103,170,61,0.41,196,58,0.34,0.041,0.9,0.02,0.1
MILK,MILK GOAT FLUID,1106,0,0.82,7,0,4.45,11,16,0.0,69,0,0,0.018,0.277,0.31,3.56,0,56,0.138,1.4,4.449999809,0.048,87.03,1.109,0.149,2.667,4.14,244.0,1 cup,30,1 fl oz,134,0.046,0.05,14,111,204,50,0.3,198,57,0.07,0.046,1.3,0.07,0.3
